device_type_id,page_id,target_id,bloc_id,bloc_row,anywhere
10,2,1,1,2,0
10,2,1,2,3,0
10,2,1,3,1,0
10,3,1,1,2,0
10,3,1,2,3,0
10,3,1,3,1,0
10,4,1,1,2,0
10,4,1,2,3,0
10,4,1,3,1,0
10,5,1,1,2,0
10,5,1,2,3,0
10,5,1,3,1,0
10,6,1,1,2,0
10,6,1,2,3,0
10,6,1,3,1,0
10,7,1,1,2,0
10,7,1,2,3,0
10,7,1,3,1,0
10,8,1,1,2,0
10,8,1,2,3,0
10,8,1,3,1,0
10,9,1,1,2,0
10,9,1,2,3,0
10,9,1,3,1,0
10,10,1,1,2,0
10,10,1,2,3,0
10,10,1,3,1,0
10,11,1,1,2,0
10,11,1,2,3,0
10,11,1,3,1,0
10,12,1,1,2,0
10,12,1,2,3,0
10,12,1,3,1,0
10,13,1,1,2,0
10,13,1,2,3,0
10,13,1,3,1,0
10,14,1,1,2,0
10,14,1,2,3,0
10,14,1,3,1,0
10,15,1,1,2,0
10,15,1,2,3,0
10,15,1,3,1,0
10,16,1,1,2,0
10,16,1,2,3,0
10,16,1,3,1,0
10,17,1,1,2,0
10,17,1,2,3,0
10,17,1,3,1,0
10,18,1,1,2,0
10,18,1,2,3,0
10,18,1,3,1,0
10,19,1,1,2,0
10,19,1,2,3,0
10,19,1,3,1,0
10,20,1,1,2,0
10,20,1,2,3,0
10,20,1,3,1,0
10,21,1,1,2,0
10,21,1,2,3,0
10,21,1,3,1,0
10,22,1,1,2,0
10,22,1,2,3,0
10,22,1,3,1,0
10,23,1,1,2,0
10,23,1,2,3,0
10,23,1,3,1,0
10,24,1,1,2,0
10,24,1,2,3,0
10,24,1,3,1,0
10,25,1,1,2,0
10,25,1,2,3,0
10,25,1,3,1,0
10,26,1,1,2,0
10,26,1,2,3,0
10,26,1,3,1,0
10,27,1,1,2,0
10,27,1,2,3,0
10,27,1,3,1,0
10,28,1,1,2,0
10,28,1,2,3,0
10,28,1,3,1,0
1,1,10,1,1,0
1,1,2,2,1,0
1,1,2,3,2,0
1,1,2,4,3,0
2,1,4,1,4,0
2,1,4,2,1,0
2,1,4,3,2,0
2,1,4,4,3,0
2,1,6,7,2,0
2,1,6,8,1,0
2,1,10,5,1,0
2,2,6,7,2,0
2,2,6,8,1,0
2,2,10,6,1,0
2,3,6,7,2,0
2,3,6,8,1,0
2,3,10,6,1,0
2,4,6,7,2,0
2,4,6,8,1,0
2,4,10,6,1,0
2,5,6,7,2,0
2,5,6,8,1,0
2,5,10,6,1,0
2,6,6,7,2,0
2,6,6,8,1,0
2,6,10,6,1,0
2,7,6,7,2,0
2,7,6,8,1,0
2,7,10,6,1,0
2,8,6,7,2,0
2,8,6,8,1,0
2,8,10,6,1,0
2,9,6,7,2,0
2,9,6,8,1,0
2,9,10,6,1,0
2,10,6,7,2,0
2,10,6,8,1,0
2,10,10,6,1,0
2,11,6,7,2,0
2,11,6,8,1,0
2,11,10,6,1,0
2,12,6,7,2,0
2,12,6,8,1,0
2,12,10,6,1,0
2,13,6,7,2,0
2,13,6,8,1,0
2,13,10,6,1,0
2,14,6,7,2,0
2,14,6,8,1,0
2,14,10,6,1,0
2,15,6,7,2,0
2,15,6,8,1,0
2,15,10,6,1,0
2,16,6,7,2,0
2,16,6,8,1,0
2,16,10,6,1,0
2,17,6,7,2,0
2,17,6,8,1,0
2,17,10,6,1,0
2,18,6,7,2,0
2,18,6,8,1,0
2,18,10,6,1,0
2,19,6,7,2,0
2,19,6,8,1,0
2,19,10,6,1,0
2,20,6,7,2,0
2,20,6,8,1,0
2,20,10,6,1,0
2,21,6,7,2,0
2,21,6,8,1,0
2,21,10,6,1,0
2,22,6,7,2,0
2,22,6,8,1,0
2,22,10,6,1,0
2,23,6,7,2,0
2,23,6,8,1,0
2,23,10,6,1,0
2,24,6,7,2,0
2,24,6,8,1,0
2,24,10,6,1,0
2,25,6,7,2,0
2,25,6,8,1,0
2,25,10,6,1,0
2,26,6,7,2,0
2,26,6,8,1,0
2,26,10,6,1,0
2,27,6,7,2,0
2,27,6,8,1,0
2,27,10,6,1,0
2,28,6,7,2,0
2,28,6,8,1,0
2,28,10,6,1,0
2,29,6,7,2,0
2,29,6,8,1,0
2,29,10,6,1,0
10,1,1,10,1,0
10,1,1,3,2,0
10,1,1,1,3,0
10,1,1,2,4,0
10,1,3,6,1,0
10,1,3,4,2,0
10,1,3,8,3,0
10,1,4,7,1,0
10,1,4,5,2,0
10,1,10,9,1,1
10,0,4,10,3,0
10,0,1,3,1,0
10,0,1,1,2,0
10,0,1,2,3,0
10,0,3,6,1,0
10,0,3,4,2,0
10,0,3,8,3,0
10,0,4,7,1,0
10,0,4,5,2,0
